id_data,data_completa,ano,trimestre,mes,nome_mes,semana_ano,dia_semana,nome_dia_semana,eh_dia_util
20250106,2025-01-06,2025,1,1,Janeiro,2,2,Segunda-feira,Sim
20250107,2025-01-07,2025,1,1,Janeiro,2,3,Terça-feira,Sim
20250108,2025-01-08,2025,1,1,Janeiro,2,4,Quarta-feira,Sim
20250109,2025-01-09,2025,1,1,Janeiro,2,5,Quinta-feira,Sim
20250110,2025-01-10,2025,1,1,Janeiro,2,6,Sexta-feira,Sim
20250113,2025-01-13,2025,1,1,Janeiro,3,2,Segunda-feira,Sim
20250114,2025-01-14,2025,1,1,Janeiro,3,3,Terça-feira,Sim
20250115,2025-01-15,2025,1,1,Janeiro,3,4,Quarta-feira,Sim
20250116,2025-01-16,2025,1,1,Janeiro,3,5,Quinta-feira,Sim
20250117,2025-01-17,2025,1,1,Janeiro,3,6,Sexta-feira,Sim
20250120,2025-01-20,2025,1,1,Janeiro,4,2,Segunda-feira,Sim
20250121,2025-01-21,2025,1,1,Janeiro,4,3,Terça-feira,Sim
20250122,2025-01-22,2025,1,1,Janeiro,4,4,Quarta-feira,Sim
20250123,2025-01-23,2025,1,1,Janeiro,4,5,Quinta-feira,Sim
20250124,2025-01-24,2025,1,1,Janeiro,4,6,Sexta-feira,Sim
20250127,2025-01-27,2025,1,1,Janeiro,5,2,Segunda-feira,Sim
20250128,2025-01-28,2025,1,1,Janeiro,5,3,Terça-feira,Sim
20250129,2025-01-29,2025,1,1,Janeiro,5,4,Quarta-feira,Sim
20250130,2025-01-30,2025,1,1,Janeiro,5,5,Quinta-feira,Sim
20250131,2025-01-31,2025,1,1,Janeiro,5,6,Sexta-feira,Sim
20250203,2025-02-03,2025,1,2,Fevereiro,6,2,Segunda-feira,Sim
20250204,2025-02-04,2025,1,2,Fevereiro,6,3,Terça-feira,Sim
20250205,2025-02-05,2025,1,2,Fevereiro,6,4,Quarta-feira,Sim
20250206,2025-02-06,2025,1,2,Fevereiro,6,5,Quinta-feira,Sim
20250207,2025-02-07,2025,1,2,Fevereiro,6,6,Sexta-feira,Sim
20250210,2025-02-10,2025,1,2,Fevereiro,7,2,Segunda-feira,Sim
20250211,2025-02-11,2025,1,2,Fevereiro,7,3,Terça-feira,Sim
20250212,2025-02-12,2025,1,2,Fevereiro,7,4,Quarta-feira,Sim
20250213,2025-02-13,2025,1,2,Fevereiro,7,5,Quinta-feira,Sim
20250214,2025-02-14,2025,1,2,Fevereiro,7,6,Sexta-feira,Sim
20250217,2025-02-17,2025,1,2,Fevereiro,8,2,Segunda-feira,Sim
20250218,2025-02-18,2025,1,2,Fevereiro,8,3,Terça-feira,Sim
20250219,2025-02-19,2025,1,2,Fevereiro,8,4,Quarta-feira,Sim
20250220,2025-02-20,2025,1,2,Fevereiro,8,5,Quinta-feira,Sim
20250221,2025-02-21,2025,1,2,Fevereiro,8,6,Sexta-feira,Sim
20250224,2025-02-24,2025,1,2,Fevereiro,9,2,Segunda-feira,Sim
20250225,2025-02-25,2025,1,2,Fevereiro,9,3,Terça-feira,Sim
20250226,2025-02-26,2025,1,2,Fevereiro,9,4,Quarta-feira,Sim
20250227,2025-02-27,2025,1,2,Fevereiro,9,5,Quinta-feira,Sim
20250228,2025-02-28,2025,1,2,Fevereiro,9,6,Sexta-feira,Sim
20250303,2025-03-03,2025,1,3,Março,10,2,Segunda-feira,Sim
20250304,2025-03-04,2025,1,3,Março,10,3,Terça-feira,Sim
20250305,2025-03-05,2025,1,3,Março,10,4,Quarta-feira,Sim
20250306,2025-03-06,2025,1,3,Março,10,5,Quinta-feira,Sim
20250307,2025-03-07,2025,1,3,Março,10,6,Sexta-feira,Sim
20250310,2025-03-10,2025,1,3,Março,11,2,Segunda-feira,Sim
20250311,2025-03-11,2025,1,3,Março,11,3,Terça-feira,Sim
20250312,2025-03-12,2025,1,3,Março,11,4,Quarta-feira,Sim
20250313,2025-03-13,2025,1,3,Março,11,5,Quinta-feira,Sim
20250314,2025-03-14,2025,1,3,Março,11,6,Sexta-feira,Sim
20250317,2025-03-17,2025,1,3,Março,12,2,Segunda-feira,Sim
20250318,2025-03-18,2025,1,3,Março,12,3,Terça-feira,Sim
20250319,2025-03-19,2025,1,3,Março,12,4,Quarta-feira,Sim
20250320,2025-03-20,2025,1,3,Março,12,5,Quinta-feira,Sim
20250321,2025-03-21,2025,1,3,Março,12,6,Sexta-feira,Sim
20250324,2025-03-24,2025,1,3,Março,13,2,Segunda-feira,Sim
20250325,2025-03-25,2025,1,3,Março,13,3,Terça-feira,Sim
20250326,2025-03-26,2025,1,3,Março,13,4,Quarta-feira,Sim
20250327,2025-03-27,2025,1,3,Março,13,5,Quinta-feira,Sim
20250328,2025-03-28,2025,1,3,Março,13,6,Sexta-feira,Sim
20250331,2025-03-31,2025,2,3,Março,14,2,Segunda-feira,Sim
20250401,2025-04-01,2025,2,4,Abril,14,3,Terça-feira,Sim
20250402,2025-04-02,2025,2,4,Abril,14,4,Quarta-feira,Sim
20250403,2025-04-03,2025,2,4,Abril,14,5,Quinta-feira,Sim
20250404,2025-04-04,2025,2,4,Abril,14,6,Sexta-feira,Sim
20250407,2025-04-07,2025,2,4,Abril,15,2,Segunda-feira,Sim
20250408,2025-04-08,2025,2,4,Abril,15,3,Terça-feira,Sim
20250409,2025-04-09,2025,2,4,Abril,15,4,Quarta-feira,Sim
20250410,2025-04-10,2025,2,4,Abril,15,5,Quinta-feira,Sim
20250411,2025-04-11,2025,2,4,Abril,15,6,Sexta-feira,Sim
20250414,2025-04-14,2025,2,4,Abril,16,2,Segunda-feira,Sim
20250415,2025-04-15,2025,2,4,Abril,16,3,Terça-feira,Sim
20250416,2025-04-16,2025,2,4,Abril,16,4,Quarta-feira,Sim
20250417,2025-04-17,2025,2,4,Abril,16,5,Quinta-feira,Sim
20250422,2025-04-22,2025,2,4,Abril,17,3,Terça-feira,Sim
20250423,2025-04-23,2025,2,4,Abril,17,4,Quarta-feira,Sim
20250424,2025-04-24,2025,2,4,Abril,17,5,Quinta-feira,Sim
20250425,2025-04-25,2025,2,4,Abril,17,6,Sexta-feira,Sim
20250428,2025-04-28,2025,2,4,Abril,18,2,Segunda-feira,Sim
20250429,2025-04-29,2025,2,4,Abril,18,3,Terça-feira,Sim
20250430,2025-04-30,2025,2,4,Abril,18,4,Quarta-feira,Sim
20250502,2025-05-02,2025,2,5,Maio,18,6,Sexta-feira,Sim
20250505,2025-05-05,2025,2,5,Maio,19,2,Segunda-feira,Sim
20250506,2025-05-06,2025,2,5,Maio,19,3,Terça-feira,Sim
20250507,2025-05-07,2025,2,5,Maio,19,4,Quarta-feira,Sim
20250508,2025-05-08,2025,2,5,Maio,19,5,Quinta-feira,Sim
20250509,2025-05-09,2025,2,5,Maio,19,6,Sexta-feira,Sim
